K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10303_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10303.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10317_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10317.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10323_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10323.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10373_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10373.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10352_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10352.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10307_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10307.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10348_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10348.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10364_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10364.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10304_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10304.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10306_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10306.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10321_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10321.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10368_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10368.mha
